SERIAL,Sync&Rep=1,0.6914
SERIAL,Sync&Rep=5,0.6027
SERIAL,Async&Rep=1,0.6849
SERIAL,Async&Rep=1-5,0.6127
SERIAL,Async&Rep=5,0.6194
SERIAL,Ensemble&Rep=1,0.6970
SERIAL,Ensemble&Rep=5,0.6638
CONCURRENCY,Sync&Rep=1,41.9342
CONCURRENCY,Sync&Rep=5,25.5688
CONCURRENCY,Async&Rep=1,0.8032
CONCURRENCY,Async&Rep=1-5,0.6028
CONCURRENCY,Async&Rep=5,1.8369
CONCURRENCY,Ensemble&Rep=1,0.7671
CONCURRENCY,Ensemble&Rep=5,1.8961
RANDOM,Sync&Rep=1,40.0457
RANDOM,Sync&Rep=5,26.8752
RANDOM,Async&Rep=1,0.7840
RANDOM,Async&Rep=5,1.9070
